U855797,FOCUS,"Customer States STILL SPUTTERING AT IDLE, FEELS LIKE IT'S GOING TO DIE. WE JUST REPLACED PLUGS, WIRES, AND FUEL FILTER FOR THIS PROBLEM."
U812662,CIVIC,ROTATE FOUR TIRES IN CONJUNCTION WITH MAINTENANCE INTERVAL A SERVICE. CHECK INFLATION PRESSURES AND CONDITION.
U812662,CIVIC,PERFORM HONDA MAINTENANCE INTERVAL B SERVICE FOR MODELS THAT USE STANDARD OILS.
U812662,CIVIC,CUSTOMER STATES: MULTIPOINT INSPECTION
U794239,FOCUS,COMPLIMENTARY EXTERIOR HAND WASH AND INTERIOR EXPRESS VACUUM WITH RAIN-X TREATMENT.
U794239,FOCUS,CUSTOMER REQUESTS DICK HANNAH HONDA WORLD CLASS INSPECTION.
U794239,FOCUS,CUSTOMER REQUESTS 4 WHEEL ALIGNMENT.
U791408,TAHOE,C/S: CUSTOMER STATED THAT SHE HAS TO JUMP THE VEHICLE EVERY DAY TO GET IT STARTED. TEST BATTERY AND REPLACE IF FAULTY
U791408,TAHOE,C/S: THE DRIVER''''S SIDE DOOR HANDLE IS FALLING OFF. ESTIMATE NEW DRIVER SIDE EXTERIOR HANDLE ASSEMBLY.
U791408,TAHOE,CUSTOMER STATES: MULTIPOINT INSPECTION
U3754519,ACCORD,COMPLIMENTARY EXTERIOR HAND WASH AND INTERIOR EXPRESS VACUUM WITH RAIN-X TREATMENT.
U3754519,ACCORD,CUSTOMER REQUESTS DICK HANNAH HONDA WORLD CLASS INSPECTION.
U3754519,ACCORD,Customer States replace valve cover gasket
U3754519,ACCORD,Customer States replace battery hold down
U3754519,ACCORD,Customer States replace front motor mount
U3754519,ACCORD,Power Steering Fluid Exchange Service
U3751480,ACADIA,Send to GMC for Further Inspection.
U3745739,TL,CUSTOMER REQUESTS 4 WHEEL ALIGNMENT.
U3745739,TL,replace compliance bushigns
U3745049,G6,Alignment - 4 Wheel (Excludes S2000 & Odyssey Touring)
U3745049,G6,Rotate Tires and Inspect Brakes
U3745049,G6,REPLACE LEFT CV AXLE ASSEMBLY
U3745049,G6,Resurface Front Brake Rotors
U3741747,CIVIC,"Code-1 Maintenance Minder Sub Item 1 - Rotate Tires and Inspect BrakesWhen Performing Maintenance Minder Package ""A""There is no charge for Sub Item Code 1 when performed with the ""B"" Service as it is included in that service."
U3732682,G6,PERFORM USED VEHICLE INSPECTION INCLUDES OIL CHANGE. ....2.2 REPLACE WIPERS AND AIR FILTER ALSO.
U3732682,G6,"Used Vehicle Detail (Cars, Trucks or SUV's)"
U3731126,CIVIC,"REPAIR REQUEST 1. - C/S: CUSTOMERS AUDIO SCREEN GOES BLACK,, THE RADIO STATION PORTION IS WHERE THE ISSUE IS HAPPENING, AND WHEN IT HAPPENS THE AUDIO UNIT CAN NOT BE CONTROLLED, EITHER VOLUME OR FUNCTIONS.  IT WILL NOT WORK WITH STEREO CONTROLS OR STEERING WHEEL CONTROLS WHEN FAILING, IS INTERMITTEN BUT HAPPENS VERY."
U3731126,CIVIC,"REPAIR REQUEST 2. - C/S DRIVERS SIDE FRONT AREA HAS A DRAGGING TYPE NOISE, WE LOOKED AT IT LAST TIME AND NEEDED TEAR DOWN FURTHER, IT SEEMS TO BE HAPPENING WHEN TAKING OFF FROM A STOP IT SEEMS TO STOP AFTER A FEW SECONDS OR WHEN GOING FROM 10-20MPH."
U3729933,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3729933,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code_________"
U3729006,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3729006,CIVIC,COMPLIMENTARY EXTERIOR HAND WASH AND INTERIOR EXPRESS VACUUM WITH RAIN-X TREATMENT.
U3729006,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code_________K758"
U3728597,ACCORD,Service Express Replace Battery (Includes Terminal Protection Pads)
U3727877,COBALT,PERFORM BUDGET LOT USED VEHICLE INSPECTION. SALEABLE UNIT.
U3727877,COBALT,"Used Vehicle Detail (Cars, Trucks or SUV's)"
U3727877,COBALT,"ANTENNA CAME OUT OF SOCKET, PLEASE FIX"
U3727877,COBALT,INSTALL PASS DOOR LOCK SWITCH
U3727288,COBALT,COMPLIMENTARY EXTERIOR HAND WASH AND INTERIOR EXPRESS VACUUM WITH RAIN-X TREATMENT.
U3727288,COBALT,Oil & Filter Change Service
U3724941,CIVIC,Customer States over spray
U3724093,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3724093,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code_________"
U3723974,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3723974,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code ___15346______ Key Code_________"
U3723973,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3723973,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code __62213_______ Key Code___N293______"
U3723960,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3723960,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code_________"
U3721075,BLAZER,Front crankshaft seal is leaking
U3720328,TAURUS,PERFORM BUDGET LOT USED VEHICLE INSPECTION. SALEABLE UNIT.
U3720328,TAURUS,"Used Vehicle Detail (Cars, Trucks or SUV's)"
U3720328,TAURUS,Sublet to Ford for axle seal replacement
U3720328,TAURUS,MOUNT AND BALANCE 4 TIRES.
U3714425,ACCORD,Alignment - 4 Wheel (Excludes S2000 & Odyssey Touring)
U3714425,ACCORD,Replace compliance bushings as previously recommended
U3714181,F-150,PERFORM BUDGET LOT USED VEHICLE INSPECTION. SALEABLE UNIT.
U3707610,ACCORD,"Customer States vehicles stereo display is dark, cant see numbers etc.new stereo code 66364"
U3705717,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3705717,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code_________"
U3705712,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3705712,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code___l929______"
U3705711,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3705711,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code_________"
U3702948,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3702948,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code_________"
U3701263,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3701263,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code_________"
U3684896,F-150,"Used Vehicle Detail (Cars, Trucks or SUV's)"
U3682273,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3682273,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code __15134_______ Key Code__L030_______"
U3680290,ACCORD,CUSTOMER STATES:  COMPLIMENTARY EXTERIOR HAND WASH AND INTERIOR EXPRESS VACUUM WITH RAIN-X TREATMENT.
U3680290,ACCORD,REPAIR REQUEST 1. - C/S: DRIVER SIDE MOTOR FOR WINDOW NEEDS TO BE REPLACED.
U3677154,CIVIC HYBRID,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3677140,CIVIC HYBRID,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3677140,CIVIC HYBRID,"PDI NEW VEHICLE..........Radio/Navi Code __34234_______ Key Code__L380_______"
U3677076,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3677076,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code_________"
U3674901,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3674901,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code __15363_______ Key Code___n173______"
U3664927,CIVIC,PERFORM EXTERIOR ONLY DETAIL
U3656937,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3656937,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _45334____ Key Code__L891____."
U3655194,RANGER,replace accessory drive belts.
U3651229,CIVIC HYBRID,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3651229,CIVIC HYBRID,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code_K694___"
U3648686,ACCORD,we installed honda transmission sent to us and after installation and starting vehicle transmission was making noise internally
U3648299,ACCORD,COMPLIMENTARY EXTERIOR HAND WASH AND INTERIOR EXPRESS VACUUM WITH RAIN-X TREATMENT.
U3648299,ACCORD,CUSTOMER REQUESTS DICK HANNAH HONDA WORLD CLASS INSPECTION.
U3648299,ACCORD,"CUST WANTS A FULL TUNE-UP. PLEASE CHECK PLUGS, T-BELT ECT."
U3648299,ACCORD,"REPLACE BATT. HOLD DOWNS, BOLTS AND POSITIVE BATT. CABLE"
U3648299,ACCORD,"REPLACE DIST. CAP, ROTORS PLUG WIRES AND SPARK PLUGS"
U3648299,ACCORD,REPLACE TIMING BELT W/ KIT AND TENSIONER
U3648299,ACCORD,REPLACE DIST. HOUSING AND O-RING
U3648299,ACCORD,REPLACE FRONT SWAY BAR LINKS
U3648299,ACCORD,Oil & Filter Change Service
U3645108,ACCORD,REPAIR REQUEST 1. - C/S: THE VEHICLE IS HAVING AN INTERMITTENT PROBLEM WITH A HARD SHIFT. IT IS ONLY ONCE OR TWICE A WEEK. ITS FROM 1-2 AND 2-1. WHEN COMING TOO COMPLETE STOP CLONKING NOISE
U3645108,ACCORD,CUSTOMER STATES:  COMPLIMENTARY EXTERIOR HAND WASH AND INTERIOR EXPRESS VACUUM WITH RAIN-X TREATMENT.
U3645108,ACCORD,CUSTOMER STATES:  CUSTOMER REQUESTS DICK HANNAH HONDA WORLD CLASS INSPECTION.
U3645108,ACCORD,replace rear main seal when transmission is replaced
U3644516,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3644516,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code__m147_______"
U3642570,F-350,PERFORM BUDGET LOT USED VEHICLE INSPECTION. SALEABLE UNIT.
U3640571,ACCORD,CUSTOMER STATES:  COMPLIMENTARY EXTERIOR HAND WASH AND INTERIOR EXPRESS VACUUM WITH RAIN-X TREATMENT.
U3640571,ACCORD,REPAIR REQUEST 2. - C/S: REPAIR LEAK AT FRONT TIMING COVER - SOP IN PARTS
U3640571,ACCORD,REPAIR REQUEST 1. - C/S: REPLACE LEFT FRONT STRUT ASSEMBLY - SOP IN PARTS
U3639889,CIVIC,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3639889,CIVIC,"PDI NEW VEHICLE..........Radio/Navi Code _________ Key Code_________"
U3639677,TL,CUSTOMER REQUESTS DICK HANNAH HONDA WORLD CLASS INSPECTION.
U3639677,TL,MOUNT AND BALANCE 1 TIRE. (LT/RR; TRAX)
U3639154,CIVIC HYBRID,"PDI NEW VEHICLE..........Radio/Navi Code __23442_______                               Key Code___L-402________"
U3639154,CIVIC HYBRID,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
U3639150,CIVIC HYBRID,"Install Protection Protection Package 1     [-- .70   $429.30 --]*** Splash Guards...Tray...All Season Mats ***"
